Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,PASS,,1,51,2.04,87,3.48,Player23,Player20,0.5,0.5,0.4,0.51
Away,PASS,,1,146,5.84,186,7.44,Player20,Player18,0.43,0.5,0.44,0.22
Away,PASS,,1,248,9.92,283,11.32,Player18,Player17,0.47,0.19,0.31,0.28
Away,PASS,,1,316,12.64,346,13.84,Player17,Player16,0.29,0.32,0.26,0.58
Away,PASS,,1,395,15.8,423,16.92,Player16,Player15,0.26,0.66,0.27,0.91
Away,BALL LOST,INTERCEPTION,1,451,18.04,504,20.16,Player15,,0.26,0.92,0.64,0.93
Away,PASS,,1,672,26.88,722,28.88,Player15,Player16,0.5,1.01,0.33,0.92
Away,PASS,,1,768,30.72,808,32.32,Player16,Player17,0.29,0.84,0.23,0.53
Away,PASS,,1,855,34.2,925,37.0,Player17,Player16,0.22,0.51,0.23,0.87
Away,PASS,,1,925,37.0,947,37.88,Player16,Player15,0.23,0.87,0.28,0.99
Away,PASS,,1,956,38.24,1016,40.64,Player15,Player16,0.28,0.99,0.15,0.9
Away,BALL LOST,INTERCEPTION,1,1016,40.64,1087,43.48,Player16,,0.15,0.9,0.51,0.7
Away,PASS,,1,1155,46.2,1170,46.8,Player21,Player20,0.4,0.67,0.36,0.65
Away,PASS,,1,1170,46.8,1224,48.96,Player20,Player18,0.36,0.65,0.36,0.24
Away,PASS,,1,1289,51.56,1319,52.76,Player18,Player24,0.49,0.18,0.62,0.18
Away,BALL LOST,INTERCEPTION,1,1392,55.68,1429,57.16,Player24,,0.72,0.04,0.87,0.13
Away,BALL LOST,HEAD-INTERCEPTION,1,1610,64.4,1673,66.92,Player16,,0.5,0.29,0.7,0.32
Away,PASS,,1,1721,68.84,1753,70.12,Player24,Player21,0.67,0.33,0.58,0.44
Away,PASS,,1,1780,71.2,1843,73.72,Player21,Player15,0.59,0.48,0.56,0.84
Away,BALL LOST,INTERCEPTION,1,1843,73.72,1876,75.04,Player15,,0.56,0.84,0.69,0.72
Away,PASS,,1,1936,77.44,1993,79.72,Player15,Player16,0.54,0.88,0.34,0.73
Away,PASS,,1,2024,80.96,2079,83.16,Player16,Player17,0.32,0.68,0.32,0.38
Away,PASS,,1,2199,87.96,2241,89.64,Player17,Player16,0.38,0.38,0.34,0.68
Away,PASS,,1,2285,91.4,2320,92.8,Player16,Player15,0.35,0.71,0.43,0.94
Away,PASS,,1,2350,94.0,2370,94.8,Player15,Player19,0.43,0.95,0.53,1.0
Away,BALL LOST,INTERCEPTION,1,2370,94.8,2417,96.68,Player19,,0.53,1.0,0.65,0.79
Away,PASS,,1,3069,122.76,3131,125.24,Player17,Player18,0.16,0.28,0.18,0.04
Away,BALL LOST,,1,3131,125.24,3217,128.68,Player18,,0.18,0.04,0.55,0.31
Away,PASS,,1,4956,198.24,5041,201.64,Player25,Player23,0.03,0.5,0.52,0.29
Away,PASS,,1,5041,201.64,5102,204.08,Player23,Player18,0.52,0.29,0.38,0.19
Away,PASS,,1,5102,204.08,5129,205.16,Player18,Player22,0.38,0.19,0.5,0.03
Away,BALL LOST,,1,5129,205.16,5163,206.52,Player22,,0.5,0.03,0.51,0.23
Away,PASS,,1,5852,234.08,5867,234.68,Player21,Player15,0.24,0.88,0.18,0.85
Away,PASS,,1,5885,235.4,5900,236.0,Player15,Player19,0.18,0.85,0.27,0.73
Away,PASS,,1,5929,237.16,5959,238.36,Player19,Player16,0.23,0.73,0.09,0.67
Away,PASS,,1,5959,238.36,6011,240.44,Player16,Player17,0.09,0.67,0.12,0.38
Away,PASS,,1,6034,241.36,6079,243.16,Player17,Player18,0.14,0.33,0.29,0.07
Away,BALL OUT,,1,6099,243.96,6123,244.92,Player18,,0.33,0.04,0.4,-0.01
Away,PASS,,1,6630,265.2,6697,267.88,Player16,Player23,0.14,0.47,0.42,0.28
Away,PASS,HEAD,1,6697,267.88,6725,269.0,Player23,Player24,0.42,0.28,0.4,0.45
Away,BALL LOST,INTERCEPTION,1,6746,269.84,6751,270.04,Player24,,0.39,0.45,0.37,0.47
Away,PASS,,1,8385,335.4,8412,336.48,Player15,Player20,0.35,0.83,0.38,0.62
Away,PASS,,1,8412,336.48,8438,337.52,Player20,Player21,0.38,0.62,0.43,0.72
Away,PASS,,1,8483,339.32,8524,340.96,Player21,Player15,0.48,0.73,0.46,0.88
Away,PASS,,1,8524,340.96,8547,341.88,Player15,Player19,0.46,0.88,0.53,0.97
Away,BALL OUT,,1,8565,342.6,8597,343.88,Player19,,0.56,0.95,0.75,1.0
Away,BALL LOST,INTERCEPTION,1,9481,379.24,9523,380.92,Player23,,0.47,0.25,0.54,0.42
Away,BALL OUT,,1,9919,396.76,9950,398.0,Player17,,0.06,0.55,-0.01,0.65
Away,BALL OUT,HEAD,1,10506,420.24,10612,424.48,Player23,,0.03,0.57,0.27,1.01
Away,BALL LOST,HEAD-INTERCEPTION,1,11158,446.32,11158,446.32,Player16,,0.17,0.5,0.36,0.31
Away,BALL LOST,THEFT,1,11534,461.36,11534,461.36,Player22,,0.25,0.41,,
Away,PASS,,1,13801,552.04,13830,553.2,Player24,Player20,0.5,0.5,0.4,0.44
Away,PASS,,1,14032,561.28,14069,562.76,Player20,Player16,0.45,0.43,0.39,0.66
Away,PASS,,1,14125,565.0,14172,566.88,Player16,Player15,0.44,0.76,0.6,0.98
Away,PASS,,1,14189,567.56,14234,569.36,Player15,Player19,0.62,0.99,0.75,0.86
Away,BALL LOST,THEFT,1,14245,569.8,14245,569.8,Player19,,0.76,0.87,,
Away,BALL OUT,,1,14546,581.84,14571,582.84,Player19,,0.7,0.96,0.64,1.01
