Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,BALL OUT,,1,504,20.16,534,21.36,Player3,,0.62,0.92,0.54,1.01
Home,BALL LOST,HEAD-INTERCEPTION,1,1084,43.36,1121,44.84,Player6,,0.51,0.75,0.38,0.63
Home,PASS,,1,1467,58.68,1489,59.56,Player1,Player11,0.94,0.19,1.0,0.35
Home,PASS,,1,1489,59.56,1578,63.12,Player11,Player9,1.0,0.35,0.59,0.14
Home,BALL LOST,INTERCEPTION,1,1578,63.12,1611,64.44,Player9,,0.59,0.14,0.52,0.29
Home,PASS,HEAD,1,1672,66.88,1693,67.72,Player6,Player7,0.68,0.28,0.68,0.37
Home,BALL LOST,HEAD,1,1693,67.72,1724,68.96,Player7,,0.68,0.37,0.68,0.34
Home,BALL LOST,INTERCEPTION,1,1874,74.96,1918,76.72,Player7,,0.68,0.71,0.58,0.86
Home,PASS,,1,2414,96.56,2440,97.6,Player3,Player8,0.66,0.86,0.51,0.94
Home,PASS,,1,2465,98.6,2493,99.72,Player8,Player4,0.52,0.94,0.6,0.97
Home,PASS,,1,2511,100.44,2546,101.84,Player4,Player3,0.61,0.97,0.76,0.87
Home,PASS,,1,2603,104.12,2708,108.32,Player3,Player1,0.78,0.8,0.53,0.06
Home,PASS,,1,2708,108.32,2734,109.36,Player1,Player5,0.53,0.06,0.6,0.13
Home,PASS,,1,2789,111.56,2811,112.44,Player5,Player6,0.56,0.06,0.55,0.28
Home,PASS,,1,2906,116.24,2923,116.92,Player6,Player10,0.48,0.37,0.33,0.41
Home,PASS,,1,2923,116.92,2968,118.72,Player10,Player1,0.33,0.41,0.36,0.06
Home,BALL LOST,INTERCEPTION,1,2997,119.88,3037,121.48,Player1,,0.34,0.04,0.19,0.29
Home,PASS,,1,3248,129.92,3311,132.44,Player3,Player11,0.58,0.27,0.86,0.45
Home,PASS,,1,3344,133.76,3392,135.68,Player11,Player2,0.86,0.45,0.72,0.12
Home,PASS,,1,3427,137.08,3455,138.2,Player2,Player5,0.69,0.12,0.59,0.14
Home,PASS,,1,3509,140.36,3526,141.04,Player5,Player9,0.57,0.13,0.43,0.13
Home,PASS,,1,3603,144.12,3641,145.64,Player9,Player6,0.37,0.09,0.42,0.28
Home,PASS,,1,3661,146.44,3675,147.0,Player6,Player9,0.4,0.27,0.4,0.19
Home,PASS,,1,3675,147.0,3718,148.72,Player9,Player4,0.4,0.19,0.49,0.56
Home,PASS,,1,3749,149.96,3797,151.88,Player4,Player8,0.47,0.59,0.3,0.95
Home,PASS,,1,3828,153.12,3875,155.0,Player8,Player7,0.28,0.94,0.15,0.93
Home,PASS,,1,3934,157.36,3959,158.36,Player7,Player4,0.2,0.94,0.33,0.85
Home,PASS,,1,4030,161.2,4054,162.16,Player4,Player6,0.28,0.88,0.3,0.74
Home,PASS,,1,4075,163.0,4097,163.88,Player6,Player5,0.3,0.74,0.31,0.58
Home,PASS,,1,4132,165.28,4177,167.08,Player5,Player1,0.31,0.55,0.21,0.07
Home,PASS,,1,4223,168.92,4253,170.12,Player1,Player5,0.2,0.08,0.26,0.3
Home,PASS,,1,4261,170.44,4291,171.64,Player5,Player9,0.26,0.3,0.16,0.28
Home,PASS,,1,4291,171.64,4334,173.36,Player9,Player1,0.16,0.28,0.15,0.12
Home,PASS,,1,4361,174.44,4376,175.04,Player1,Player9,0.12,0.1,0.07,0.24
Home,PASS,,1,4402,176.08,4419,176.76,Player9,Player5,0.05,0.24,0.13,0.23
Home,PASS,,1,5222,208.88,5254,210.16,Player6,Player4,0.57,0.33,0.64,0.63
Home,PASS,,1,5372,214.88,5400,216.0,Player4,Player10,0.49,0.8,0.28,0.64
Home,PASS,,1,5400,216.0,5425,217.0,Player10,Player7,0.28,0.64,0.29,0.78
Home,PASS,,1,5447,217.88,5482,219.28,Player7,Player8,0.26,0.78,0.24,0.92
Home,PASS,,1,5482,219.28,5524,220.96,Player8,Player4,0.24,0.92,0.31,0.86
Home,PASS,,1,5533,221.32,5561,222.44,Player4,Player8,0.31,0.86,0.23,0.99
Home,PASS,,1,5640,225.6,5658,226.32,Player8,Player9,0.23,0.84,0.27,0.69
Home,PASS,,1,5658,226.32,5687,227.48,Player9,Player4,0.27,0.69,0.31,0.87
Home,PASS,,1,5707,228.28,5745,229.8,Player4,Player7,0.32,0.88,0.2,0.99
Home,PASS,,1,5745,229.8,5763,230.52,Player7,Player9,0.2,0.99,0.19,0.86
Home,BALL LOST,,1,5763,230.52,5795,231.8,Player9,,0.19,0.86,0.22,0.8
Home,PASS,,1,6354,254.16,6386,255.44,Player1,Player5,0.37,0.0,0.42,0.06
Home,PASS,,1,6394,255.76,6419,256.76,Player5,Player9,0.41,0.08,0.36,0.27
Home,PASS,,1,6494,259.76,6517,260.68,Player9,Player1,0.4,0.11,0.32,0.03
Home,BALL LOST,INTERCEPTION,1,6602,264.08,6630,265.2,Player1,,0.21,0.15,0.13,0.44
Home,PASS,,1,6749,269.96,6767,270.68,Player4,Player6,0.39,0.48,0.39,0.42
Home,PASS,,1,6808,272.32,6830,273.2,Player6,Player1,0.36,0.38,0.41,0.35
Home,PASS,,1,6830,273.2,6859,274.36,Player1,Player4,0.41,0.35,0.41,0.5
Home,PASS,,1,6898,275.92,6941,277.64,Player4,Player8,0.43,0.53,0.31,0.94
Home,BALL OUT,,1,7071,282.84,7172,286.88,Player8,,0.16,0.83,-0.01,0.18
Home,PASS,,1,8148,325.92,8200,328.0,Player6,Player4,0.65,0.32,0.69,0.67
Home,BALL LOST,INTERCEPTION,1,8315,332.6,8342,333.68,Player4,,0.52,0.81,0.29,0.87
Home,PASS,,1,8720,348.8,8761,350.44,Player4,Player6,0.72,1.01,0.71,0.75
Home,PASS,,1,8820,352.8,8862,354.48,Player6,Player5,0.68,0.69,0.68,0.44
Home,PASS,,1,8914,356.56,8932,357.28,Player5,Player6,0.61,0.33,0.61,0.47
Home,PASS,,1,8991,359.64,9021,360.84,Player6,Player4,0.59,0.45,0.57,0.74
Home,PASS,,1,9126,365.04,9146,365.84,Player4,Player8,0.42,0.85,0.37,0.97
Home,PASS,,1,9170,366.8,9207,368.28,Player8,Player4,0.37,0.96,0.43,0.89
Home,PASS,,1,9261,370.44,9291,371.64,Player4,Player3,0.42,0.83,0.54,0.68
Home,PASS,,1,9331,373.24,9373,374.92,Player3,Player5,0.55,0.63,0.5,0.24
Home,PASS,,1,9399,375.96,9429,377.16,Player5,Player1,0.49,0.22,0.38,0.03
Home,PASS,,1,9459,378.36,9474,378.96,Player1,Player5,0.4,0.05,0.49,0.13
Home,BALL LOST,INTERCEPTION,1,9474,378.96,9483,379.32,Player5,,0.49,0.13,0.46,0.28
Home,PASS,,1,9523,380.92,9539,381.56,Player3,Player6,0.54,0.44,0.48,0.36
Home,PASS,,1,9579,383.16,9612,384.48,Player6,Player2,0.49,0.39,0.65,0.4
Home,PASS,,1,9612,384.48,9649,385.96,Player2,Player4,0.65,0.4,0.58,0.62
Home,PASS,,1,9688,387.52,9715,388.6,Player4,Player10,0.55,0.67,0.31,0.53
Home,PASS,,1,9760,390.4,9810,392.4,Player10,Player8,0.28,0.64,0.19,0.95
Home,BALL LOST,INTERCEPTION,1,9905,396.2,9920,396.8,Player8,,0.08,0.79,0.06,0.56
Home,BALL LOST,INTERCEPTION,1,10463,418.52,10508,420.32,Player5,,0.08,1.0,0.04,0.58
Home,PASS,,1,10715,428.6,10765,430.6,Player4,Player2,0.36,1.0,0.52,0.83
Home,PASS,,1,10886,435.44,10921,436.84,Player2,Player6,0.52,0.69,0.54,0.39
Home,PASS,,1,11008,440.32,11028,441.12,Player6,Player5,0.42,0.24,0.29,0.19
Home,BALL LOST,INTERCEPTION,1,11063,442.52,11101,444.04,Player5,,0.26,0.15,0.14,0.45
Home,PASS,,1,11159,446.36,11199,447.96,Player6,Player4,0.35,0.34,0.44,0.56
Home,PASS,,1,11275,451.0,11318,452.72,Player4,Player8,0.39,0.62,0.29,0.97
